Date,Close
3/2/2015 16:00:00,31.16
3/3/2015 16:00:00,31.11
3/4/2015 16:00:00,29.37
3/5/2015 16:00:00,29.8
3/6/2015 16:00:00,29.37
3/9/2015 16:00:00,29.4
3/10/2015 16:00:00,29.11
3/11/2015 16:00:00,29.38
3/12/2015 16:00:00,30.01
3/13/2015 16:00:00,29.72
3/16/2015 16:00:00,30.19
3/17/2015 16:00:00,31.07
3/18/2015 16:00:00,31.61
3/19/2015 16:00:00,31.71
3/20/2015 16:00:00,32.23
3/23/2015 16:00:00,32.17
3/24/2015 16:00:00,32.38
3/25/2015 16:00:00,31.6
3/26/2015 16:00:00,31.73
3/27/2015 16:00:00,32
3/30/2015 16:00:00,32.33
3/31/2015 16:00:00,31.86
4/1/2015 16:00:00,31.92
4/2/2015 16:00:00,32.02
4/6/2015 16:00:00,32.12
4/7/2015 16:00:00,31.82
4/8/2015 16:00:00,32.44
4/9/2015 16:00:00,32.43
4/10/2015 16:00:00,31.89
4/13/2015 16:00:00,31.99
4/14/2015 16:00:00,32.04
4/15/2015 16:00:00,32.11
4/16/2015 16:00:00,31.81
4/17/2015 16:00:00,31.25
4/20/2015 16:00:00,31.44
4/21/2015 16:00:00,32.02
4/22/2015 16:00:00,31.87
4/23/2015 16:00:00,32.12
4/24/2015 16:00:00,31.95
4/27/2015 16:00:00,31.95
4/28/2015 16:00:00,32.26
4/29/2015 16:00:00,32.11
4/30/2015 16:00:00,32.05
5/1/2015 16:00:00,32.17
5/4/2015 16:00:00,32.32
5/5/2015 16:00:00,32.15
5/6/2015 16:00:00,32.23
5/7/2015 16:00:00,32.31
5/8/2015 16:00:00,32.14
5/11/2015 16:00:00,32.02
5/12/2015 16:00:00,32.02
5/13/2015 16:00:00,31.87
5/14/2015 16:00:00,32.29
5/15/2015 16:00:00,31.99
5/18/2015 16:00:00,32.01
5/19/2015 16:00:00,32.52
5/20/2015 16:00:00,32.96
5/21/2015 16:00:00,32.64
5/22/2015 16:00:00,32.49
5/26/2015 16:00:00,32.24
5/27/2015 16:00:00,32.79
5/28/2015 16:00:00,32.71
5/29/2015 16:00:00,32.44
6/1/2015 16:00:00,32.5
6/2/2015 16:00:00,32.39
6/3/2015 16:00:00,33.16
6/4/2015 16:00:00,32.71
6/5/2015 16:00:00,32.71
6/8/2015 16:00:00,32.55
6/9/2015 16:00:00,32.91
6/10/2015 16:00:00,33.24
6/11/2015 16:00:00,33.32
6/12/2015 16:00:00,33.03
6/15/2015 16:00:00,32.89
6/16/2015 16:00:00,32.96
6/17/2015 16:00:00,32.84
6/18/2015 16:00:00,33.28
6/19/2015 16:00:00,33.34
6/22/2015 16:00:00,33.42
6/23/2015 16:00:00,33.61
6/24/2015 16:00:00,33.35
6/25/2015 16:00:00,33.54
6/26/2015 16:00:00,33.32
6/29/2015 16:00:00,32.85
6/30/2015 16:00:00,32.87
7/1/2015 16:00:00,32.79
7/2/2015 16:00:00,32.64
7/6/2015 16:00:00,32.41
7/7/2015 16:00:00,32.09
7/8/2015 16:00:00,32.02
7/9/2015 16:00:00,31.77
7/10/2015 16:00:00,32.17
7/13/2015 16:00:00,32.47
7/14/2015 16:00:00,32.66
