Date,Close
3/2/2015 16:00:00,30.69
3/3/2015 16:00:00,30.68
3/4/2015 16:00:00,30.9
3/5/2015 16:00:00,31.3
3/6/2015 16:00:00,31.35
3/9/2015 16:00:00,31.98
3/10/2015 16:00:00,31.76
3/11/2015 16:00:00,32.44
3/12/2015 16:00:00,32.93
3/13/2015 16:00:00,32.99
3/16/2015 16:00:00,33.45
3/17/2015 16:00:00,32.7
3/18/2015 16:00:00,32.87
3/19/2015 16:00:00,33.44
3/20/2015 16:00:00,33.23
3/23/2015 16:00:00,32.96
3/24/2015 16:00:00,33.3
3/25/2015 16:00:00,32.75
3/26/2015 16:00:00,32.85
3/27/2015 16:00:00,32.94
3/30/2015 16:00:00,31.46
3/31/2015 16:00:00,30.7
4/1/2015 16:00:00,30.95
4/2/2015 16:00:00,30.6
4/6/2015 16:00:00,30.65
4/7/2015 16:00:00,30.31
4/8/2015 16:00:00,30.52
4/9/2015 16:00:00,30.42
4/10/2015 16:00:00,30.46
4/13/2015 16:00:00,30.45
4/14/2015 16:00:00,30.45
4/15/2015 16:00:00,30.3
4/16/2015 16:00:00,29.99
4/17/2015 16:00:00,29.44
4/20/2015 16:00:00,29.86
4/21/2015 16:00:00,30.21
4/22/2015 16:00:00,30.42
4/23/2015 16:00:00,30.86
4/24/2015 16:00:00,30.14
4/27/2015 16:00:00,31.12
4/28/2015 16:00:00,30.63
4/29/2015 16:00:00,30.38
4/30/2015 16:00:00,30.24
5/1/2015 16:00:00,30.16
5/4/2015 16:00:00,30.35
5/5/2015 16:00:00,30.36
5/6/2015 16:00:00,30.42
5/7/2015 16:00:00,30.48
5/8/2015 16:00:00,30.51
5/11/2015 16:00:00,30.5
5/12/2015 16:00:00,30.22
5/13/2015 16:00:00,30.32
5/14/2015 16:00:00,30.6
5/15/2015 16:00:00,30.91
5/18/2015 16:00:00,31.2
5/19/2015 16:00:00,31.14
5/20/2015 16:00:00,31.24
5/21/2015 16:00:00,31.06
5/22/2015 16:00:00,31
5/26/2015 16:00:00,30.02
5/27/2015 16:00:00,29.89
5/28/2015 16:00:00,29.95
5/29/2015 16:00:00,29.54
6/1/2015 16:00:00,29.54
6/2/2015 16:00:00,29.97
6/3/2015 16:00:00,30.23
6/4/2015 16:00:00,29.88
6/5/2015 16:00:00,30.13
6/8/2015 16:00:00,29.58
6/9/2015 16:00:00,29.24
6/10/2015 16:00:00,29.44
6/11/2015 16:00:00,29.77
6/12/2015 16:00:00,30.23
6/15/2015 16:00:00,29.57
6/16/2015 16:00:00,30.01
6/17/2015 16:00:00,30.16
6/18/2015 16:00:00,30.31
6/19/2015 16:00:00,31.36
6/22/2015 16:00:00,31.85
6/23/2015 16:00:00,31.84
6/24/2015 16:00:00,31.64
6/25/2015 16:00:00,32.15
6/26/2015 16:00:00,32.6
6/29/2015 16:00:00,31.87
6/30/2015 16:00:00,31.87
7/1/2015 16:00:00,31.88
7/2/2015 16:00:00,31.32
7/6/2015 16:00:00,31.17
7/7/2015 16:00:00,31.04
7/8/2015 16:00:00,30.64
7/9/2015 16:00:00,30.62
7/10/2015 16:00:00,31.26
7/13/2015 16:00:00,31.69
7/14/2015 16:00:00,32.4
7/15/2015 16:00:00,31
7/16/2015 16:00:00,30.63
7/17/2015 16:00:00,29.99
7/20/2015 16:00:00,29.77
7/21/2015 16:00:00,29.32
7/22/2015 16:00:00,29
7/23/2015 16:00:00,28.58
7/24/2015 16:00:00,27.59
7/27/2015 16:00:00,26.91
7/28/2015 16:00:00,26.73
7/29/2015 16:00:00,27.11
7/30/2015 16:00:00,26.67
7/31/2015 16:00:00,26.95
8/3/2015 16:00:00,26.92
8/4/2015 16:00:00,26.98
8/5/2015 16:00:00,27.03
8/6/2015 16:00:00,26.84
8/7/2015 16:00:00,26.62
8/10/2015 16:00:00,27.25
8/11/2015 16:00:00,26.81
8/12/2015 16:00:00,26.54
8/13/2015 16:00:00,26.39
8/14/2015 16:00:00,26.65
8/17/2015 16:00:00,26.6
8/18/2015 16:00:00,26.33
8/19/2015 16:00:00,25.71
8/20/2015 16:00:00,25.03
8/21/2015 16:00:00,25
8/24/2015 16:00:00,24.31
8/25/2015 16:00:00,23.51
8/26/2015 16:00:00,23.68
8/27/2015 16:00:00,24.15
8/28/2015 16:00:00,24.39
8/31/2015 16:00:00,24.33
9/1/2015 16:00:00,23.55
9/2/2015 16:00:00,23.7
9/3/2015 16:00:00,23.47
9/4/2015 16:00:00,23.28
9/8/2015 16:00:00,23.39
9/9/2015 16:00:00,23.39
9/10/2015 16:00:00,23.19
9/11/2015 16:00:00,23.2
9/14/2015 16:00:00,22.9
9/15/2015 16:00:00,23.47
9/16/2015 16:00:00,23.35
9/17/2015 16:00:00,23.9
9/18/2015 16:00:00,23.18
9/21/2015 16:00:00,22.89
9/22/2015 16:00:00,21.85
9/23/2015 16:00:00,21.39
9/24/2015 16:00:00,20.9
9/25/2015 16:00:00,18.91
9/28/2015 16:00:00,18.69
9/29/2015 16:00:00,18.84
9/30/2015 16:00:00,18.97
10/1/2015 16:00:00,19.57
10/2/2015 16:00:00,20.3
10/5/2015 16:00:00,20.94
10/6/2015 16:00:00,21.13
10/7/2015 16:00:00,21.33
10/8/2015 16:00:00,22.02
10/9/2015 16:00:00,22.2
10/12/2015 16:00:00,22.28
10/13/2015 16:00:00,22.37
10/14/2015 16:00:00,22.2
10/15/2015 16:00:00,22.68
10/16/2015 16:00:00,22.46
10/19/2015 16:00:00,22.48
10/20/2015 16:00:00,22.66
10/21/2015 16:00:00,22.36
10/22/2015 16:00:00,22.75
10/23/2015 16:00:00,23.07
10/26/2015 16:00:00,22.5
10/27/2015 16:00:00,22.18
10/28/2015 16:00:00,22.89
10/29/2015 16:00:00,22.78
10/30/2015 16:00:00,22.69
11/2/2015 16:00:00,23.59
11/3/2015 16:00:00,23.82
11/4/2015 16:00:00,23.78
11/5/2015 16:00:00,23.89
11/6/2015 16:00:00,24.01
11/9/2015 16:00:00,23.34
11/10/2015 16:00:00,23.16
11/11/2015 16:00:00,22.89
11/12/2015 16:00:00,22.28
11/13/2015 16:00:00,22.43
11/16/2015 16:00:00,23.3
11/17/2015 16:00:00,23.02
11/18/2015 16:00:00,23.33
11/19/2015 16:00:00,23.39
11/20/2015 16:00:00,23.46
11/23/2015 16:00:00,23.55
11/24/2015 16:00:00,24.37
11/25/2015 16:00:00,24.24
11/27/2015 16:00:00,24.15
11/30/2015 16:00:00,24.56
12/1/2015 16:00:00,24.65
12/2/2015 16:00:00,24.73
12/3/2015 16:00:00,24.55
12/4/2015 16:00:00,24.38
12/7/2015 16:00:00,23.58
12/8/2015 16:00:00,23.12
12/9/2015 16:00:00,22.91
12/10/2015 16:00:00,22.75
12/11/2015 16:00:00,21.78
12/14/2015 16:00:00,21.61
12/15/2015 16:00:00,22.65
12/16/2015 16:00:00,23.4
12/17/2015 16:00:00,23.03
12/18/2015 16:00:00,24.61
12/21/2015 16:00:00,26
12/22/2015 16:00:00,26.23
12/23/2015 16:00:00,26.38
12/24/2015 16:00:00,26.59
12/28/2015 16:00:00,26.25
12/29/2015 16:00:00,26.66
12/30/2015 16:00:00,26.29
12/31/2015 16:00:00,26.29
1/4/2016 16:00:00,25.79
1/5/2016 16:00:00,25.43
1/6/2016 16:00:00,24.66
1/7/2016 16:00:00,24.1
1/8/2016 16:00:00,23.51
1/11/2016 16:00:00,23.36
1/12/2016 16:00:00,23.76
1/13/2016 16:00:00,23.12
1/14/2016 16:00:00,23.66
1/15/2016 16:00:00,23.87
1/19/2016 16:00:00,21.88
1/20/2016 16:00:00,21.99
1/21/2016 16:00:00,21.75
1/22/2016 16:00:00,21.89
1/25/2016 16:00:00,21.03
1/26/2016 16:00:00,21.1
1/27/2016 16:00:00,20.66
1/28/2016 16:00:00,20.25
1/29/2016 16:00:00,21.01
2/1/2016 16:00:00,20.69
2/2/2016 16:00:00,19.36
2/3/2016 16:00:00,19.67
2/4/2016 16:00:00,20.05
2/5/2016 16:00:00,19.3
2/8/2016 16:00:00,19.4
2/9/2016 16:00:00,19.63
2/10/2016 16:00:00,19.79
2/11/2016 16:00:00,18.98
2/12/2016 16:00:00,18.93
2/16/2016 16:00:00,19.62
2/17/2016 16:00:00,19.56
2/18/2016 16:00:00,19.74
2/19/2016 16:00:00,19.56
2/22/2016 16:00:00,21.23
2/23/2016 16:00:00,20.99
2/24/2016 16:00:00,21.34
2/25/2016 16:00:00,21.52
2/26/2016 16:00:00,21.6
2/29/2016 16:00:00,21.29
3/1/2016 16:00:00,21.49
3/2/2016 16:00:00,21.72
3/3/2016 16:00:00,21.96
3/4/2016 16:00:00,22.25
3/7/2016 16:00:00,22.36
3/8/2016 16:00:00,21.45
3/9/2016 16:00:00,21.79
3/10/2016 16:00:00,21.26
3/11/2016 16:00:00,21.61
3/14/2016 16:00:00,21.29
3/15/2016 16:00:00,21
3/16/2016 16:00:00,21.21
3/17/2016 16:00:00,22.07
3/18/2016 16:00:00,22.63
3/21/2016 16:00:00,22.21
3/22/2016 16:00:00,21.94
3/23/2016 16:00:00,23.03
3/24/2016 16:00:00,22.8
3/28/2016 16:00:00,22.62
3/29/2016 16:00:00,23.21
3/30/2016 16:00:00,23.2
3/31/2016 16:00:00,23.27
4/1/2016 16:00:00,23.39
4/4/2016 16:00:00,23.29
4/5/2016 16:00:00,23.25
4/6/2016 16:00:00,23.27
4/7/2016 16:00:00,23.3
4/8/2016 16:00:00,23.44
4/11/2016 16:00:00,23.32
4/12/2016 16:00:00,23.53
4/13/2016 16:00:00,24.15
4/14/2016 16:00:00,24.61
4/15/2016 16:00:00,24.13
4/18/2016 16:00:00,24.21
4/19/2016 16:00:00,24.29
4/20/2016 16:00:00,24.43
4/21/2016 16:00:00,24.04
4/22/2016 16:00:00,24.19
4/25/2016 16:00:00,23.61
4/26/2016 16:00:00,24.43
4/27/2016 16:00:00,24.44
4/28/2016 16:00:00,24.22
4/29/2016 16:00:00,24.04
5/2/2016 16:00:00,24.06
5/3/2016 16:00:00,23.83
5/4/2016 16:00:00,23.51
5/5/2016 16:00:00,23.57
5/6/2016 16:00:00,23.85
5/9/2016 16:00:00,23.81
5/10/2016 16:00:00,24.55
5/11/2016 16:00:00,23.95
5/12/2016 16:00:00,23.77
5/13/2016 16:00:00,23.37
5/16/2016 16:00:00,24.34
5/17/2016 16:00:00,23.33
5/18/2016 16:00:00,23.41
5/19/2016 16:00:00,23.01
5/20/2016 16:00:00,23.67
5/23/2016 16:00:00,23.28
5/24/2016 16:00:00,24.1
5/25/2016 16:00:00,24.24
5/26/2016 16:00:00,24.47
5/27/2016 16:00:00,24.53
5/31/2016 16:00:00,24.41
6/1/2016 16:00:00,24.39
6/2/2016 16:00:00,24.6
6/3/2016 16:00:00,24.29
6/6/2016 16:00:00,24.81
6/7/2016 16:00:00,24.58
6/8/2016 16:00:00,24.41
6/9/2016 16:00:00,24.27
6/10/2016 16:00:00,24.19
6/13/2016 16:00:00,23.36
6/14/2016 16:00:00,23.12
6/15/2016 16:00:00,23.03
6/16/2016 16:00:00,22.52
6/17/2016 16:00:00,23.2
6/20/2016 16:00:00,23.24
6/21/2016 16:00:00,23.15
6/22/2016 16:00:00,22.9
6/23/2016 16:00:00,23.5
6/24/2016 16:00:00,23.24
6/27/2016 16:00:00,22.28
6/28/2016 16:00:00,22.06
6/29/2016 16:00:00,22.33
6/30/2016 16:00:00,23.34
7/1/2016 16:00:00,23.29
7/5/2016 16:00:00,22.62
7/6/2016 16:00:00,22.87
7/7/2016 16:00:00,22.72
7/8/2016 16:00:00,23.32
7/11/2016 16:00:00,24
7/12/2016 16:00:00,25.04
7/13/2016 16:00:00,22.73
7/14/2016 16:00:00,22.99
7/15/2016 16:00:00,23.33
7/18/2016 16:00:00,24.26
7/19/2016 16:00:00,24.21
7/20/2016 16:00:00,24.12
7/21/2016 16:00:00,24.25
7/22/2016 16:00:00,24.27
7/25/2016 16:00:00,24.21
7/26/2016 16:00:00,24.35
7/27/2016 16:00:00,24.51
